count	reward_sum	squared_reward_sum	length
0	-116.93675848469138	10006.346161365991	72
1	-118.67645079083741	10006.293324675971	82
2	-118.01126206293702	10008.725247491742	54
3	-119.0760954702273	10007.318323140747	116
4	-66.39187518687686	9.580351853682306	2000
5	-151.86920685411314	10008.890077785276	1711
6	-64.65040399681311	11.565320242962557	2000
7	-101.33658509235829	10001.587301937314	54
8	-105.27610254660249	10001.114506813565	54
9	-149.71084200334735	10008.532609729085	1680
10	-127.56182650756091	10016.570973976523	100
11	-98.56015745922923	10002.605463317985	65
12	-143.86045319435652	10011.838740688294	1511
13	-105.82363502215594	10001.27973942158	48
14	-101.60056665749289	10002.2794360287	67
15	-26.092565482389407	4.126529216477504	2000
16	-101.87060810817691	10001.461451311563	73
17	-101.65117447653925	10001.458239177438	98
18	-97.3969531178419	10002.164993405433	81
19	-97.88099950131263	10001.437332203202	88
20	-103.31223814726329	10000.857776635317	165
21	-98.88382988111316	10002.104427575863	79
22	-97.39052226239939	10002.243874157655	90
23	-38.73678103233473	1.5976610995590712	2000
24	-100.58990094488499	10001.07575750434	90
25	-100.72803589511038	10000.728102930449	60
26	-101.32934182300122	10001.103705442172	124
27	-99.96582071820076	10001.19009741047	66
28	-98.55817810369382	10001.010229867361	68
29	-99.13970258620341	10000.82461514368	65
30	-101.48532035086923	10000.75898072014	107
31	-98.2825010340467	10001.0472948028	77
32	-100.35548483390805	10000.633480516708	70
33	-72.4647024784256	6.050386173258241	2000
34	-97.047541710259	10003.055527552426	131
35	-100.44130962579287	10004.320287780407	111
36	-99.39431410196113	10001.85814610727	87
37	-103.44001215981325	10001.752727084719	81
38	-96.91523789114036	10002.301667659127	91
39	-99.17650164577387	10002.558820660382	99
40	-99.82075270694432	10002.967523447716	85
41	-98.19396556794288	10002.320593407228	86
42	-100.1763808095266	10001.883672641143	87
43	-95.9844162803421	10003.06166049258	136
44	-75.33827315673503	5.667339166800968	2000
45	-127.11290710889133	10007.546959354491	154
46	-123.22412174009766	10006.269110567284	105
47	-61.63426145030078	5.927192675988927	2000
48	-142.72293285345143	15.599781895850853	2000
49	-118.28896692043418	10005.428157887354	106
50	-42.15446380168832	8.35100484859354	2000
51	-108.56533799049214	10001.860716260575	50
52	-55.754024850241656	16.640043051407915	2000
53	-123.31431729531639	10007.111113395717	98
54	-125.02594247435698	10008.106573822351	98
55	-124.71150762398585	10007.187659700296	107
56	-124.61770558929243	10007.414461169457	104
57	-106.19146470410317	6.5600508148099985	2000
58	-99.3345152490021	10004.055313769224	86
59	-100.87212633950367	10003.213538466503	113
60	-100.88407876787284	10002.979712947737	82
61	-100.0357337917685	10002.088364959403	73
62	-103.76919247252665	10003.117738632509	71
63	-103.49948440285188	10003.06514405896	67
64	-103.13959702403855	10002.201604490083	61
65	-102.47377169168652	10003.29518443121	77
66	-99.60229737050857	10002.93457262668	95
67	-97.98581711309149	10002.718338591592	76
68	-95.93832408472197	10002.639905392456	97
69	-93.25668348886735	10017.88474611511	369
70	-56.487684222155806	5.827712552895795	2000
71	-119.33905599685376	10015.957256659707	1020
72	-52.3302691594244	6.324906574138913	2000
73	-92.16832790911639	10002.59481119811	111
74	-94.16134398198321	10001.655051872329	111
75	-92.64748997654567	10002.142818945136	161
76	-95.0642196449107	10002.38057925278	81
77	-56.27855373319165	2.4703790582478944	2000
78	-99.85881259801683	10003.081277155312	71
79	-99.03106497279609	10002.913416044503	99
80	-93.47078020612669	10006.096481415972	214
81	-97.93583836165338	10002.908051260009	104
82	-95.83208660747317	10002.64039296676	89
83	-49.65290075077574	7.271314723114301	2000
84	-89.02370068893869	10006.429158327364	96
85	-85.88680171171897	10008.164961949742	167
86	-79.56272229440903	10009.573362875119	206
87	-111.90484467154795	10003.25032467164	50
88	-99.02352234620678	10005.254227222109	131
89	-88.69541355540788	10010.509528619936	401
90	-86.97841213982721	10005.725236642293	205
91	-103.35028717195122	10003.057125653391	94
92	-80.9811051738843	10010.023606702334	192
93	-94.80657719913573	10004.426778891215	157
94	-92.60139914286958	10007.83287237743	193
95	-92.65794149739465	10004.235484451201	88
96	-83.96586807342182	10009.144099442698	246
97	-90.68905359603548	10008.416524060212	269
98	-93.46942513876093	10003.27940724274	100
99	-75.91895501528727	18.260197113133678	2000
100	-64.14031639044155	6.555837697603767	2000
101	-83.7754268583109	10006.430376398104	201
102	-117.01977004315498	10018.512066851845	489
103	-110.39441767050066	10002.80689366279	51
104	-110.68162818189819	10002.657391498731	52
105	-81.11357077052313	10011.288545736572	417
106	-61.88730907601248	23.68993080198423	2000
107	-75.68071254814896	10006.793947585405	275
108	-117.82749707406104	16.44201402777516	2000
109	-81.18509522763406	10005.817155671399	159
110	-86.33555078298798	10005.526319044822	189
111	-81.60543098138572	10005.740323695145	152
112	-79.98429875096468	10006.812801874277	195
113	-82.92875566806494	10005.556263492557	171
114	-86.98714552578096	10004.883909176855	118
115	-76.71617431974818	10008.063090274023	291
116	-87.43510645733512	10004.769603692046	142
117	-88.39647945863311	10007.337807961036	207
118	-80.02673203855235	10006.45480675147	194
119	-85.14616771642605	10005.879641677077	127
120	-93.11415669216598	10002.877577657107	90
121	-98.37039852513645	16.250368265954368	2000
122	-86.28727582561524	10004.467549189438	134
123	-50.45634322088173	10015.507316235216	307
124	-85.98247750803918	10007.105529667573	168
125	-81.10758982553476	10006.35550130327	136
126	-112.4115685899619	20.511904103043655	2000
127	-88.1315063644973	10003.798648366033	147
128	-21.523474819918306	10022.583732429646	448
129	-52.926520812344926	10014.800501616775	337
130	-82.13738128888961	10005.869001572893	170
131	-98.26289343457334	10003.314322942944	71
132	-34.45189511098918	27.61936110833303	2000
133	-67.73787150289198	10.64411923574508	2000
134	-78.71155958714314	10007.966160265116	182
135	-81.77257297007687	10006.179422122988	222
136	-33.06011792300386	10018.683832577357	615
137	-47.31807510434968	11.028744680585007	2000
138	-73.0306632511669	10.244196409096483	2000
139	-91.8110585519759	10005.291350616319	308
140	-47.23306958183116	10018.430092403487	273
141	-112.0977526930824	18.71877663088347	2000
